Age,Gender,Marital_Status,Dependents,Education,Self_Employed,Work_Experience_Years,ApplicantIncome,CoapplicantIncome,Salary_Payment_Mode,Existing_EMI,Residential_Assets,Area,Loan_Purpose,LoanAmount,Loan_Amount_Term,Hidden_CIBIL,Approved_Bank,Officer_Approved,Fraud_Label,Eligible_Loan_Amount
64,1,1,2,1,0,46,62148,19709,2,11070,1,1,1,169765,48,778.14,0,1,0,169765.0
59,1,0,2,1,1,33,59051,0,2,16161,0,2,1,1224421,24,751.53,0,1,0,1224421.0
53,1,0,3,1,0,28,47494,34403,2,5472,1,1,1,985639,72,757.13,0,1,0,985639.0
52,1,1,1,2,0,32,58436,19579,2,19267,1,1,1,481617,36,771.72,0,1,0,481617.0
63,1,0,2,1,0,36,50353,0,2,12856,1,2,3,351631,18,773.43,0,1,0,351631.0
60,0,1,0,1,0,35,60339,0,2,18291,1,1,0,192724,18,764.35,0,1,0,192724.0
54,1,0,3,1,0,31,71825,37829,2,4201,0,1,1,1649676,72,756.79,0,1,0,1649676.0
51,0,1,1,2,0,32,59422,0,2,11149,0,1,1,1884443,18,769.79,0,1,0,1879088.0
64,1,1,1,1,1,40,51017,0,2,5606,0,2,2,985594,12,777.72,0,1,0,985594.0
60,0,1,3,1,1,40,50445,30959,0,3600,0,2,2,638983,60,769.86,0,1,1,638983.0
50,1,0,1,2,0,29,80566,10531,1,3764,1,0,1,662037,72,759.14,0,1,0,662037.0
56,1,0,0,1,0,37,46518,0,0,9427,1,2,3,1529477,84,756.47,0,1,1,836262.0
54,1,0,0,2,0,34,64391,0,2,22435,0,0,2,436369,72,782.56,0,1,0,436369.0
63,0,1,0,1,0,37,48959,45258,2,3932,2,2,1,682056,84,774.38,0,1,0,682056.0
58,1,0,3,1,0,37,47012,0,1,4788,0,1,3,1759556,48,807.34,0,1,0,1415596.0
54,1,1,0,1,1,36,57868,0,2,3382,0,2,2,911838,48,755.69,0,1,0,911838.0
47,0,1,0,2,0,27,48457,19325,2,7717,0,1,5,1738280,72,800.91,0,1,0,1140371.0
63,1,1,0,1,0,26,62651,0,1,12973,1,2,1,1357505,12,811.08,0,1,0,1357505.0
52,0,1,2,1,0,23,49904,0,2,13957,2,2,2,314790,72,763.8,0,1,0,314790.0
55,1,1,0,2,1,29,81174,0,2,19778,0,1,1,621309,60,778.42,0,1,0,621309.0
61,1,1,0,1,0,36,63031,44124,0,594,0,2,2,511620,24,764.29,0,1,1,511620.0
56,0,1,1,1,0,35,62581,0,2,2858,1,0,0,615141,18,767.29,0,1,0,615141.0
55,0,0,0,1,0,32,57566,0,1,15982,0,2,1,1796205,18,774.78,0,1,0,1727134.0
64,1,1,0,1,0,43,45146,10706,2,13883,1,1,2,1605840,12,771.93,0,1,0,1413514.0
51,1,0,2,1,0,32,53350,34208,2,6100,0,2,1,1928848,36,758.11,0,1,0,1647650.0
59,1,1,0,1,0,37,42304,34221,2,10289,1,1,2,1066681,72,756.15,0,1,0,739832.0
50,0,1,0,1,0,29,54896,22449,2,3917,0,2,1,1334164,84,759.4,0,1,0,1334164.0
63,1,0,1,2,0,39,59103,0,2,15634,0,1,1,1103412,72,807.86,0,1,0,942957.0
63,0,0,0,1,0,32,58036,33610,2,14478,2,0,0,2039933,60,753.44,0,1,0,1162580.0
57,1,0,3,0,1,40,61318,0,2,7882,1,0,5,649206,36,778.7,0,1,0,649206.0
54,0,1,0,1,0,33,64047,17051,2,17939,1,1,4,1538298,84,752.34,0,1,0,734769.0
60,0,0,1,2,1,38,59017,21142,2,9846,1,1,2,697515,72,761.85,0,1,0,697515.0
50,1,1,0,2,0,30,65438,0,2,9582,0,1,0,2118310,48,753.27,0,1,0,1830394.0
62,1,1,0,1,0,40,69158,0,1,7416,0,2,0,2128855,48,751.29,0,1,0,2064562.0
62,0,1,0,1,0,40,56715,0,1,2989,1,1,3,711732,48,763.61,0,1,0,711732.0
63,0,0,1,1,0,41,52171,27053,1,14372,0,1,3,324359,48,783.55,0,1,0,324359.0
57,1,1,1,1,0,37,49746,0,2,4054,0,2,4,373905,60,765.61,0,1,0,373905.0
47,1,1,0,1,0,15,62472,0,2,14110,0,1,3,151064,72,773.54,0,1,0,151064.0
59,1,0,1,2,0,34,67734,0,1,18898,1,0,2,1822201,12,763.01,0,1,0,1822201.0
56,1,0,1,1,0,35,50730,0,1,10069,2,2,3,1907860,18,763.51,0,1,0,1594308.0
61,0,0,0,1,0,41,53972,0,2,3797,1,1,2,855677,36,792.51,0,1,0,855677.0
60,0,0,0,2,0,40,59436,35221,2,3960,0,1,3,1900329,84,772.23,0,1,0,1747620.0
59,1,0,0,1,0,35,67849,0,0,13968,1,0,0,1463774,60,765.65,0,1,1,1463774.0
43,0,1,1,0,0,23,60790,0,1,3463,1,2,0,65126,60,761.66,0,1,0,65126.0
54,1,1,1,1,0,35,57040,29077,2,6039,0,2,3,806569,24,757.75,0,1,0,806569.0
52,1,1,1,1,1,29,61624,0,2,18425,2,2,1,1530821,84,769.33,0,1,0,609140.0
64,0,0,3,1,0,43,53579,0,2,13212,0,2,3,1268221,72,762.3,0,1,0,924001.0
53,1,1,1,1,0,26,63888,21521,2,6486,1,1,1,660226,72,766.6,0,1,0,660226.0
44,0,0,1,2,0,24,62885,0,2,20110,1,2,5,919997,48,750.09,0,1,0,919997.0
50,0,1,2,0,1,27,54620,0,2,15724,1,2,1,199926,84,753.22,0,1,0,199926.0
59,0,1,2,1,0,19,52744,0,2,13373,0,2,3,2109760,18,761.59,0,1,0,1605326.0
62,1,0,0,0,1,33,38365,0,2,6270,0,2,0,960840,24,810.35,0,1,0,960840.0
50,1,0,1,1,0,33,61827,0,2,9573,0,2,0,988569,18,753.55,0,1,0,988569.0
59,1,0,0,1,0,39,64198,54803,0,7671,0,2,1,1632388,18,762.78,0,1,1,1632388.0
60,1,0,1,1,1,39,56019,0,2,14347,2,2,3,1196757,24,785.48,0,1,0,1196757.0
64,1,0,0,1,0,45,60615,36434,2,5449,0,1,0,2224600,36,760.06,0,1,0,1925361.0
57,0,0,1,2,0,38,72303,0,2,15521,1,2,3,944516,36,787.78,0,1,0,944516.0
62,1,0,0,0,0,27,68898,14815,2,4378,2,1,2,147056,60,764.5,0,1,0,147056.0
61,0,0,1,1,0,42,55134,12375,2,10725,0,2,2,1042625,84,812.19,0,1,0,1028790.0
62,0,1,2,2,0,34,55212,0,0,808,2,0,0,1885420,60,763.56,0,1,1,1883940.0
63,1,1,0,1,0,28,68129,32869,2,406,1,2,2,1272707,24,772.41,0,1,0,1272707.0
59,0,1,0,1,1,37,61534,0,2,2397,1,1,0,994476,12,753.35,0,1,0,994476.0
57,1,0,2,1,1,40,53651,0,2,903,1,0,1,1799608,48,755.62,0,1,0,1799608.0
59,0,1,0,2,1,27,61009,10083,1,14125,0,2,2,220676,84,786.84,0,1,0,220676.0
48,1,1,2,1,0,25,74912,53311,2,12084,1,0,3,283031,60,772.5,0,1,0,283031.0
44,0,0,1,2,0,20,63493,0,2,14598,0,0,0,2462960,12,764.53,0,1,0,2047079.0
61,0,1,1,1,0,36,62848,21764,2,15275,0,0,2,2133148,48,757.29,0,1,0,1466480.0
62,1,0,1,1,1,42,51670,32025,2,9938,1,2,3,545245,60,768.5,0,1,0,545245.0
47,1,1,1,1,0,27,58152,55864,2,888,0,0,2,248389,84,768.3,0,1,0,248389.0
53,0,1,1,1,0,30,47857,9169,2,12768,0,2,4,1327195,36,774.5,0,1,0,1215347.0
63,0,0,3,1,0,44,50881,0,2,10063,1,1,4,1835240,84,760.26,0,1,0,935543.0
58,1,1,1,1,0,30,59101,26971,2,7898,1,2,1,445365,48,754.99,0,1,0,445365.0
53,1,1,1,1,1,32,51883,0,2,15789,0,2,0,176526,72,772.64,0,1,0,176526.0
64,1,1,1,0,0,44,56105,0,1,15110,2,2,4,1634112,24,755.32,0,1,0,1601035.0
60,1,0,1,1,1,40,49995,0,2,16757,0,0,1,1042091,84,773.3,0,1,0,342237.0
55,0,1,0,2,0,34,68970,0,1,2829,0,1,4,1037005,72,773.77,0,1,0,1037005.0
64,0,1,0,1,0,38,53978,12762,1,6968,1,1,1,710342,84,751.27,0,1,0,710342.0
49,1,1,1,1,0,31,63433,39790,2,14363,1,0,1,745299,12,768.32,0,1,0,745299.0
51,1,0,0,0,0,32,52013,0,2,5815,0,0,3,2080520,24,792.4,0,1,0,1680895.0
59,1,1,0,2,0,33,55806,15247,2,19496,1,1,1,122202,24,754.27,0,1,0,122202.0
62,1,1,1,1,0,34,66156,0,2,16981,0,2,1,2244082,48,753.37,0,1,0,1500372.0
40,1,1,0,2,0,18,55786,0,2,9798,0,0,4,2231440,48,787.71,0,1,0,1482206.0
55,1,1,1,1,0,29,62630,31974,2,1090,1,2,2,1814407,18,770.36,0,1,0,1814407.0
53,1,0,2,2,0,16,69498,0,1,9195,0,1,1,1409852,12,754.46,0,1,0,1409852.0
60,1,0,2,1,1,39,61198,9121,2,443,1,1,2,1682359,12,759.96,0,1,0,1682359.0
60,1,0,1,1,0,28,78070,19701,1,2852,1,1,1,541575,60,753.25,0,1,0,541575.0
51,0,1,0,1,1,32,53334,26599,2,5546,0,2,0,91422,18,751.32,0,1,0,91422.0
39,0,0,1,2,1,11,40984,0,2,9186,1,1,2,1089137,84,750.48,0,1,0,662816.0
61,0,1,1,1,0,43,59624,0,1,8755,0,0,1,2184960,24,796.65,0,1,0,1876720.0
57,0,1,1,1,0,38,55566,0,2,9390,1,1,1,1576327,12,763.02,0,1,0,1576327.0
61,1,1,0,1,0,44,58617,0,0,2388,1,0,0,1136309,12,819.16,0,1,1,1136309.0
59,1,0,0,1,1,25,57213,0,2,7247,2,1,3,123058,84,750.7,0,1,0,123058.0
58,1,1,1,2,0,31,83054,0,2,15875,0,0,1,2279624,36,761.26,0,1,0,2279624.0
64,1,1,1,1,0,40,62462,41599,2,4608,1,1,0,1982107,36,770.44,0,1,0,1982107.0
64,0,1,1,1,0,40,69101,0,2,1426,1,0,0,2017123,48,754.05,0,1,0,2017123.0
48,1,1,1,2,0,28,49405,0,2,6624,1,2,4,1661463,60,773.4,0,1,0,1331735.0
57,0,1,1,1,0,37,62434,0,2,12612,1,1,4,1823494,12,774.54,0,1,0,1823494.0
58,1,1,2,1,1,33,58273,49603,2,10379,1,2,1,1808147,24,750.23,0,1,0,1790459.0
59,1,0,1,1,0,38,64251,11166,1,9428,0,0,3,1030334,84,752.69,0,1,0,1030334.0
60,0,1,0,2,0,36,61706,0,2,10014,1,1,0,875537,18,762.02,0,1,0,875537.0
53,1,0,2,1,0,32,70865,32673,0,8808,0,2,1,2373127,60,758.13,0,1,1,1951795.0
34,1,0,0,1,0,16,67944,0,2,21951,0,1,4,2190489,84,794.51,0,1,0,534156.0
60,0,1,1,1,0,41,72115,45850,1,7131,2,0,0,2349341,48,797.86,0,1,0,2181737.0
58,0,1,1,1,0,28,64197,0,2,4463,0,2,3,2367880,12,752.96,0,1,0,2193339.0
60,1,1,1,1,0,33,58602,58862,2,8775,1,0,5,2077065,48,761.96,0,1,0,1629870.0
50,1,1,2,2,1,20,65340,46685,1,4677,0,2,4,1509909,18,784.46,0,1,0,1509909.0
51,0,1,1,1,0,28,57423,0,1,2864,2,2,2,633910,60,752.46,0,1,0,633910.0
54,1,1,0,1,0,32,67694,0,2,4147,0,1,1,2218884,84,755.84,0,1,0,2020942.0
60,1,1,1,1,0,29,70468,0,1,5103,1,0,0,1857175,12,776.82,0,1,0,1857175.0
57,1,1,0,2,0,23,63729,57178,1,2895,0,0,2,333481,84,750.07,0,1,0,333481.0
62,0,1,1,2,0,32,62169,24369,2,14512,0,2,2,2366327,24,776.63,0,1,0,1827627.0
56,1,1,0,1,0,36,56776,45071,2,3434,1,2,2,2011348,84,780.29,0,1,0,1698704.0
62,1,1,1,2,0,37,74139,59000,2,20449,0,2,3,1017830,72,754.67,0,1,0,1017830.0
64,1,1,1,2,0,35,61668,0,2,20170,0,1,4,426804,84,756.16,0,1,0,426804.0
62,0,1,2,1,1,37,46155,56010,2,5250,0,1,3,701355,84,766.82,0,1,0,701355.0
62,0,1,0,1,0,42,58007,0,2,8757,0,1,2,278490,72,764.71,0,1,0,278490.0
58,0,1,0,0,0,39,61778,0,2,10056,1,2,4,2296513,84,768.91,0,1,0,1317526.0
55,1,0,0,1,1,32,64881,0,2,15350,0,0,2,551843,72,819.52,0,1,0,551843.0
64,1,1,1,1,0,31,57142,0,2,8236,0,0,3,641302,84,790.86,0,1,0,641302.0
49,0,1,0,1,1,24,45893,0,2,1827,0,2,4,1635720,12,754.9,0,1,0,1584331.0
56,0,0,1,1,0,30,59516,0,2,16753,0,0,2,1764091,48,754.45,0,1,0,1278916.0
63,1,1,1,1,0,40,48654,0,2,6022,1,0,3,979183,18,796.65,0,1,0,979183.0
34,0,1,2,2,0,15,67427,0,1,4386,0,0,0,2402532,48,754.88,0,1,0,2149417.0
64,1,0,0,0,0,39,69614,0,2,12144,0,0,1,891809,18,765.79,0,1,0,891809.0
63,1,0,0,1,0,40,54466,59045,2,10428,2,0,4,1113947,36,794.15,0,1,0,1113947.0
60,0,0,0,1,0,27,62893,0,2,1024,2,0,1,1330176,84,767.09,0,1,0,1330176.0
52,1,0,1,2,0,24,60298,16242,2,16971,0,0,4,2243790,48,778.28,0,1,0,1295822.0
63,0,1,0,1,1,35,54988,0,1,2620,1,2,2,1427240,18,771.12,0,1,0,1427240.0
62,1,1,0,2,0,43,78767,18352,1,22141,0,1,3,1176556,18,768.82,0,1,0,1176556.0
55,1,1,3,1,1,27,40360,16087,1,10554,1,1,2,1614400,48,757.96,0,1,0,906008.0
55,0,1,1,1,0,34,57947,0,2,12480,0,1,1,893022,18,790.71,0,1,0,893022.0
49,1,1,0,2,0,26,75692,52931,2,7241,2,1,1,1280096,36,754.07,0,1,0,1280096.0
44,1,0,3,1,1,21,63360,0,2,8092,0,2,4,1593857,18,768.09,0,1,0,1593857.0
64,1,0,0,1,0,18,54005,0,0,242,0,1,1,1374953,12,757.52,0,1,1,1374953.0
61,1,0,1,0,0,26,62804,24155,1,8764,1,1,0,2143695,36,771.33,0,1,0,1882636.0
57,1,1,0,2,0,25,71871,0,2,14113,1,0,1,209374,60,769.77,0,1,0,209374.0
61,1,0,0,2,0,41,71786,0,1,19357,0,2,3,1621996,12,757.93,0,1,0,1621996.0
54,1,1,0,2,0,22,66502,32322,2,1355,0,2,3,2274749,24,768.79,0,1,0,2274749.0
59,0,0,1,1,0,28,60885,0,2,11661,2,0,4,2416429,48,751.7,0,1,0,1571247.0
58,0,1,0,1,0,36,62531,0,2,8650,1,2,4,733308,72,804.21,0,1,0,733308.0
58,1,1,2,1,0,37,48955,0,2,8021,1,1,1,314636,84,763.86,0,1,0,314636.0
61,0,1,2,1,0,43,52840,0,1,1626,1,0,0,1913600,12,761.54,0,1,0,1829888.0
58,0,1,0,1,1,39,62485,0,2,9643,1,0,2,774913,48,777.08,0,1,0,774913.0
49,1,0,0,2,0,28,59437,12011,2,11902,1,2,2,701190,60,756.36,0,1,0,701190.0
