Age,Gender,Marital_Status,Dependents,Education,Self_Employed,Work_Experience_Years,ApplicantIncome,CoapplicantIncome,Salary_Payment_Mode,Existing_EMI,Residential_Assets,Area,Loan_Purpose,LoanAmount,Loan_Amount_Term,Approved_Status,Approved_Bank,Hidden_CIBIL
64,1,0,1,1,1,46,65119,50185,1,15108,0,0,2,205647,18,1,0,767.82
63,0,0,1,1,1,26,61741,27163,2,6224,1,1,1,614267,18,1,0,754.72
60,0,0,0,2,0,33,63785,34563,0,7814,0,0,1,2181745,24,1,0,750.69
64,1,1,0,1,0,38,61308,0,0,5960,1,2,3,1767321,48,1,0,751.97
61,0,1,0,1,0,39,47300,48118,2,7781,1,0,1,1892000,48,1,0,765.88
63,1,1,0,1,0,41,50546,0,1,12296,0,1,0,832734,12,1,0,789.72
63,1,0,2,2,0,36,68057,0,2,1521,0,0,2,387563,36,1,0,788.05
44,0,1,3,1,0,22,75070,0,2,8713,1,1,2,2101283,18,1,0,756.21
64,1,0,0,1,0,31,57418,0,2,3643,1,0,1,656776,60,1,0,789.5
62,1,0,1,1,0,33,62267,0,2,11664,1,0,0,2090012,24,1,0,765.72
56,1,0,2,2,0,27,63834,0,2,19467,0,0,4,1167022,72,1,0,752.07
53,1,1,0,1,0,30,48622,52469,0,10863,1,1,2,1066491,48,1,0,791.4
61,1,1,1,1,0,41,60002,32320,2,12476,0,2,0,1733489,72,1,0,756.64
38,0,1,0,2,0,21,72541,0,2,11482,1,1,3,1925842,18,1,0,751.03
63,1,1,0,2,1,45,69461,0,0,7262,0,2,2,1173243,36,1,0,757.37
42,1,1,1,1,0,2,44648,0,2,3014,1,1,1,1785920,24,1,0,783.81
62,0,0,2,1,0,43,68193,0,2,4713,0,1,2,2172270,72,1,0,783.57
61,1,1,3,2,1,36,61812,0,2,20771,1,0,2,2239686,18,1,0,776.93
61,0,1,1,2,0,41,61812,37067,2,216,1,0,1,1394778,24,1,0,772.96
62,1,1,2,1,1,35,58380,0,2,3488,2,1,0,2049964,12,1,0,770.36
62,1,1,0,1,0,38,59924,0,2,12296,0,0,1,378035,12,1,0,756.97
62,1,1,0,2,0,27,58028,8133,0,3599,1,1,1,2140982,84,1,0,750.33
54,0,0,2,2,0,28,70595,0,2,13513,1,0,3,355271,72,1,0,752.23
63,0,0,0,2,1,36,66290,21754,2,16037,0,1,1,2451600,72,1,0,761.23
64,1,0,1,0,0,41,48357,33169,2,13658,2,0,1,1190822,24,1,0,759.06
64,1,1,1,1,0,43,60219,44499,2,1513,1,0,2,67171,12,1,0,799.1
64,1,1,0,2,1,30,63916,0,2,9691,2,0,1,359456,60,1,0,754.76
63,1,0,2,0,1,41,44438,0,0,574,1,2,5,388530,72,1,0,775.77
59,1,1,0,1,1,27,65075,0,2,14189,0,1,0,67445,12,1,0,750.77
58,0,1,2,0,0,33,63532,0,1,13936,1,2,0,758359,18,1,0,768.19
55,1,1,0,1,1,33,56712,0,2,12923,1,1,3,1485608,24,1,0,777.97
52,1,0,2,0,0,16,36714,0,0,7313,0,0,0,1268560,18,1,0,760.23
53,0,1,0,1,0,34,49067,24205,2,16382,1,1,2,594982,12,1,0,752.61
61,1,1,1,2,0,27,67768,41126,1,3712,2,2,4,1855767,72,1,0,758.43
61,1,1,1,1,0,41,55238,0,1,8641,1,0,4,230607,36,1,0,760.48
60,1,1,1,1,0,40,56055,0,2,11818,1,2,2,905598,48,1,0,765.84
54,1,1,0,2,0,33,65689,0,2,3871,0,1,4,1260953,36,1,0,762.03
53,1,0,1,1,1,34,64444,0,2,1262,1,0,0,1084759,18,1,0,753.7
47,1,1,1,1,0,25,58104,0,2,6064,2,0,4,1491044,36,1,0,760.56
41,1,0,0,2,0,22,56974,0,2,14817,1,0,2,2078960,12,1,0,753.56
62,1,1,1,1,1,30,45200,17599,2,2663,0,1,1,1261371,48,1,0,762.97
46,0,0,1,2,0,28,65569,42562,2,6535,0,0,0,1473708,84,1,0,760.11
54,1,1,1,1,0,29,58652,42477,1,2334,0,0,2,2146080,12,1,0,753.97
52,1,1,0,1,0,31,76305,38825,2,13345,0,0,0,1955783,48,1,0,750.24
61,0,0,1,1,0,34,61146,0,0,15530,1,2,4,439232,72,1,0,750.61
58,1,0,2,1,1,39,57003,33401,1,7979,0,0,2,1217101,24,1,0,777.09
63,1,1,0,1,1,41,55763,0,2,6213,1,0,1,326476,18,1,0,776.88
61,1,1,0,1,1,38,59637,0,2,6104,2,0,1,1524403,36,1,0,768.79
64,0,1,1,2,0,39,64765,0,2,14280,0,2,2,1447540,72,1,0,780.74
59,1,1,0,1,0,42,58335,0,0,6393,1,0,3,1438173,72,1,0,766.05
59,1,1,1,2,0,32,73661,0,2,16968,0,1,1,858971,84,1,0,756.0
63,0,0,1,2,0,17,63838,8682,1,6911,2,2,3,1633547,48,1,0,754.17
58,0,1,2,1,0,38,67759,26957,0,8634,1,1,2,1437731,12,1,0,771.59
63,1,1,2,2,1,42,61460,0,0,500,2,1,4,2241510,84,1,0,764.55
57,0,0,0,2,0,39,76342,0,2,8000,0,2,5,1592050,18,1,0,780.26
64,0,0,2,0,0,42,47375,0,2,1482,0,1,1,1577221,60,1,0,807.74
58,0,1,1,1,0,32,58583,0,1,16440,2,2,5,1662565,60,1,0,751.82
64,0,1,1,1,0,33,69218,0,1,19112,1,0,1,627884,18,1,0,770.83
54,1,1,1,1,0,34,44099,46419,2,7253,2,0,4,316367,12,1,0,761.64
46,0,1,0,1,1,27,49843,0,2,215,1,1,2,1959390,48,1,0,770.81
60,0,1,1,2,1,39,58516,0,1,1252,0,0,2,845785,18,1,0,793.13
53,1,1,1,2,0,3,36263,0,2,8000,0,2,0,884049,84,1,0,767.66
58,1,0,0,2,0,28,74981,24740,2,16369,0,1,2,415414,72,1,0,763.39
62,0,1,0,1,0,40,62361,0,2,15584,1,2,2,1443019,12,1,0,791.28
61,1,1,0,1,0,27,51536,53589,2,11054,0,2,4,524661,84,1,0,771.25
52,1,1,0,2,1,21,61837,0,2,5679,1,2,2,1998523,72,1,0,799.15
62,0,0,1,1,1,43,59983,0,2,17143,0,2,1,864209,72,1,0,752.31
62,1,1,0,1,1,42,57636,41485,1,4743,1,0,0,1659443,72,1,0,769.47
60,0,1,0,1,0,21,62824,0,2,10493,1,2,0,1761851,84,1,0,754.0
61,1,1,0,2,0,27,71774,0,2,4047,0,1,1,434053,18,1,0,792.14
59,1,1,2,1,1,29,60717,0,2,5191,0,0,3,72974,72,1,0,798.35
58,1,0,0,1,0,33,61947,0,2,21663,1,1,3,1322914,36,1,0,770.98
48,1,0,0,2,0,21,64489,40367,1,3977,2,1,3,253382,84,1,0,751.33
61,1,1,2,1,0,27,57532,0,2,10145,1,2,3,2301280,18,1,0,765.63
63,0,1,2,2,0,29,62893,50554,0,10640,2,1,3,1536662,72,1,0,759.8
48,0,1,0,1,0,23,69816,36765,2,16256,1,0,0,2091908,12,1,0,751.98
61,1,1,2,1,0,27,56803,15106,2,1920,0,0,0,2212616,36,1,0,785.03
58,1,1,0,1,0,31,59091,0,2,17372,0,0,0,1259820,12,1,0,757.56
46,1,0,0,1,0,21,44902,47323,1,3721,1,2,0,1742618,60,1,0,752.14
57,1,1,0,2,0,37,55593,0,2,2709,0,0,3,346687,48,1,0,759.27
54,1,0,2,2,0,34,79718,58558,2,20385,0,0,0,924475,60,1,0,762.21
52,1,1,0,2,0,34,66390,0,1,15692,1,1,3,1656249,12,1,0,751.62
44,0,0,1,0,1,23,37518,0,1,4276,2,1,3,850459,12,1,0,753.77
59,1,0,1,1,0,27,54912,9821,2,4747,1,0,3,262294,36,1,0,757.25
56,1,1,1,1,0,33,66753,0,2,8237,1,0,2,1459892,24,1,0,792.97
48,1,0,0,2,0,30,63184,0,2,2415,1,1,3,2327360,72,1,0,804.69
44,0,0,0,1,0,14,44686,0,2,8365,0,1,1,704797,48,1,0,765.02
52,1,1,0,1,0,34,65393,46493,2,13884,2,2,1,918484,18,1,0,783.59
64,1,0,0,1,0,42,74730,0,1,11868,0,2,2,2360196,60,1,0,782.22
55,1,0,1,2,0,37,64982,0,2,7491,1,2,2,2387388,18,1,0,796.07
52,0,1,1,0,0,31,44672,0,2,3095,2,1,3,813071,18,1,0,801.24
62,1,0,1,1,1,41,69158,10696,2,9250,0,0,4,807726,48,1,0,766.67
48,0,1,1,2,1,28,71070,16704,1,6499,1,0,0,1263235,72,1,0,767.11
61,0,1,0,2,0,30,58655,0,2,8348,1,0,4,1214027,48,1,0,767.75
46,0,1,2,2,1,20,64639,0,2,12046,0,0,3,292068,48,1,0,760.71
62,1,1,2,1,0,33,56253,30337,2,6843,0,0,1,1429831,60,1,0,784.2
58,0,1,1,0,0,25,49878,12782,1,8188,1,0,2,1995120,48,1,0,788.24
60,0,1,1,1,1,13,51468,43296,2,14589,0,0,1,1807758,12,1,0,751.73
53,0,0,1,2,0,27,56154,46390,2,13675,0,2,2,915639,84,1,0,752.94
64,1,0,1,1,0,38,57358,0,2,9888,0,1,2,430513,72,1,0,758.37
64,1,1,0,1,0,37,67951,20917,2,45,0,0,1,1945422,72,1,0,771.86
53,1,1,1,1,0,33,55156,0,2,3014,2,0,4,955323,18,1,0,758.07
64,1,1,2,1,0,46,62148,19709,2,11070,1,1,1,169765,48,1,0,778.14
59,1,0,2,1,1,33,59051,0,2,16161,0,2,1,1224421,24,1,0,751.53
53,1,0,3,1,0,28,47494,34403,2,5472,1,1,1,985639,72,1,0,757.13
52,1,1,1,2,0,32,58436,19579,2,19267,1,1,1,481617,36,1,0,771.72
63,1,0,2,1,0,36,50353,0,2,12856,1,2,3,351631,18,1,0,773.43
60,0,1,0,1,0,35,60339,0,2,18291,1,1,0,192724,18,1,0,764.35
54,1,0,3,1,0,31,71825,37829,2,4201,0,1,1,1649676,72,1,0,756.79
51,0,1,1,2,0,32,59422,0,2,11149,0,1,1,1884443,18,1,0,769.79
64,1,1,1,1,1,40,51017,0,2,5606,0,2,2,985594,12,1,0,777.72
60,0,1,3,1,1,40,50445,30959,0,3600,0,2,2,638983,60,1,0,769.86
50,1,0,1,2,0,29,80566,10531,1,3764,1,0,1,662037,72,1,0,759.14
56,1,0,0,1,0,37,46518,0,0,9427,1,2,3,1529477,84,1,0,756.47
54,1,0,0,2,0,34,64391,0,2,22435,0,0,2,436369,72,1,0,782.56
63,0,1,0,1,0,37,48959,45258,2,3932,2,2,1,682056,84,1,0,774.38
58,1,0,3,1,0,37,47012,0,1,4788,0,1,3,1759556,48,1,0,807.34
54,1,1,0,1,1,36,57868,0,2,3382,0,2,2,911838,48,1,0,755.69
47,0,1,0,2,0,27,48457,19325,2,7717,0,1,5,1738280,72,1,0,800.91
63,1,1,0,1,0,26,62651,0,1,12973,1,2,1,1357505,12,1,0,811.08
52,0,1,2,1,0,23,49904,0,2,13957,2,2,2,314790,72,1,0,763.8
55,1,1,0,2,1,29,81174,0,2,19778,0,1,1,621309,60,1,0,778.42
61,1,1,0,1,0,36,63031,44124,0,594,0,2,2,511620,24,1,0,764.29
56,0,1,1,1,0,35,62581,0,2,2858,1,0,0,615141,18,1,0,767.29
55,0,0,0,1,0,32,57566,0,1,15982,0,2,1,1796205,18,1,0,774.78
64,1,1,0,1,0,43,45146,10706,2,13883,1,1,2,1605840,12,1,0,771.93
51,1,0,2,1,0,32,53350,34208,2,6100,0,2,1,1928848,36,1,0,758.11
59,1,1,0,1,0,37,42304,34221,2,10289,1,1,2,1066681,72,1,0,756.15
50,0,1,0,1,0,29,54896,22449,2,3917,0,2,1,1334164,84,1,0,759.4
63,1,0,1,2,0,39,59103,0,2,15634,0,1,1,1103412,72,1,0,807.86
63,0,0,0,1,0,32,58036,33610,2,14478,2,0,0,2039933,60,1,0,753.44
57,1,0,3,0,1,40,61318,0,2,7882,1,0,5,649206,36,1,0,778.7
54,0,1,0,1,0,33,64047,17051,2,17939,1,1,4,1538298,84,1,0,752.34
60,0,0,1,2,1,38,59017,21142,2,9846,1,1,2,697515,72,1,0,761.85
50,1,1,0,2,0,30,65438,0,2,9582,0,1,0,2118310,48,1,0,753.27
62,1,1,0,1,0,40,69158,0,1,7416,0,2,0,2128855,48,1,0,751.29
62,0,1,0,1,0,40,56715,0,1,2989,1,1,3,711732,48,1,0,763.61
63,0,0,1,1,0,41,52171,27053,1,14372,0,1,3,324359,48,1,0,783.55
57,1,1,1,1,0,37,49746,0,2,4054,0,2,4,373905,60,1,0,765.61
47,1,1,0,1,0,15,62472,0,2,14110,0,1,3,151064,72,1,0,773.54
59,1,0,1,2,0,34,67734,0,1,18898,1,0,2,1822201,12,1,0,763.01
56,1,0,1,1,0,35,50730,0,1,10069,2,2,3,1907860,18,1,0,763.51
61,0,0,0,1,0,41,53972,0,2,3797,1,1,2,855677,36,1,0,792.51
60,0,0,0,2,0,40,59436,35221,2,3960,0,1,3,1900329,84,1,0,772.23
59,1,0,0,1,0,35,67849,0,0,13968,1,0,0,1463774,60,1,0,765.65
43,0,1,1,0,0,23,60790,0,1,3463,1,2,0,65126,60,1,0,761.66
54,1,1,1,1,0,35,57040,29077,2,6039,0,2,3,806569,24,1,0,757.75
52,1,1,1,1,1,29,61624,0,2,18425,2,2,1,1530821,84,1,0,769.33
64,0,0,3,1,0,43,53579,0,2,13212,0,2,3,1268221,72,1,0,762.3
53,1,1,1,1,0,26,63888,21521,2,6486,1,1,1,660226,72,1,0,766.6
44,0,0,1,2,0,24,62885,0,2,20110,1,2,5,919997,48,1,0,750.09
50,0,1,2,0,1,27,54620,0,2,15724,1,2,1,199926,84,1,0,753.22
59,0,1,2,1,0,19,52744,0,2,13373,0,2,3,2109760,18,1,0,761.59
62,1,0,0,0,1,33,38365,0,2,6270,0,2,0,960840,24,1,0,810.35
50,1,0,1,1,0,33,61827,0,2,9573,0,2,0,988569,18,1,0,753.55
59,1,0,0,1,0,39,64198,54803,0,7671,0,2,1,1632388,18,1,0,762.78
60,1,0,1,1,1,39,56019,0,2,14347,2,2,3,1196757,24,1,0,785.48
64,1,0,0,1,0,45,60615,36434,2,5449,0,1,0,2224600,36,1,0,760.06
57,0,0,1,2,0,38,72303,0,2,15521,1,2,3,944516,36,1,0,787.78
62,1,0,0,0,0,27,68898,14815,2,4378,2,1,2,147056,60,1,0,764.5
61,0,0,1,1,0,42,55134,12375,2,10725,0,2,2,1042625,84,1,0,812.19
62,0,1,2,2,0,34,55212,0,0,808,2,0,0,1885420,60,1,0,763.56
63,1,1,0,1,0,28,68129,32869,2,406,1,2,2,1272707,24,1,0,772.41
59,0,1,0,1,1,37,61534,0,2,2397,1,1,0,994476,12,1,0,753.35
57,1,0,2,1,1,40,53651,0,2,903,1,0,1,1799608,48,1,0,755.62
59,0,1,0,2,1,27,61009,10083,1,14125,0,2,2,220676,84,1,0,786.84
48,1,1,2,1,0,25,74912,53311,2,12084,1,0,3,283031,60,1,0,772.5
44,0,0,1,2,0,20,63493,0,2,14598,0,0,0,2462960,12,1,0,764.53
61,0,1,1,1,0,36,62848,21764,2,15275,0,0,2,2133148,48,1,0,757.29
62,1,0,1,1,1,42,51670,32025,2,9938,1,2,3,545245,60,1,0,768.5
47,1,1,1,1,0,27,58152,55864,2,888,0,0,2,248389,84,1,0,768.3
53,0,1,1,1,0,30,47857,9169,2,12768,0,2,4,1327195,36,1,0,774.5
63,0,0,3,1,0,44,50881,0,2,10063,1,1,4,1835240,84,1,0,760.26
58,1,1,1,1,0,30,59101,26971,2,7898,1,2,1,445365,48,1,0,754.99
53,1,1,1,1,1,32,51883,0,2,15789,0,2,0,176526,72,1,0,772.64
64,1,1,1,0,0,44,56105,0,1,15110,2,2,4,1634112,24,1,0,755.32
60,1,0,1,1,1,40,49995,0,2,16757,0,0,1,1042091,84,1,0,773.3
55,0,1,0,2,0,34,68970,0,1,2829,0,1,4,1037005,72,1,0,773.77
64,0,1,0,1,0,38,53978,12762,1,6968,1,1,1,710342,84,1,0,751.27
49,1,1,1,1,0,31,63433,39790,2,14363,1,0,1,745299,12,1,0,768.32
51,1,0,0,0,0,32,52013,0,2,5815,0,0,3,2080520,24,1,0,792.4
59,1,1,0,2,0,33,55806,15247,2,19496,1,1,1,122202,24,1,0,754.27
62,1,1,1,1,0,34,66156,0,2,16981,0,2,1,2244082,48,1,0,753.37
40,1,1,0,2,0,18,55786,0,2,9798,0,0,4,2231440,48,1,0,787.71
55,1,1,1,1,0,29,62630,31974,2,1090,1,2,2,1814407,18,1,0,770.36
53,1,0,2,2,0,16,69498,0,1,9195,0,1,1,1409852,12,1,0,754.46
60,1,0,2,1,1,39,61198,9121,2,443,1,1,2,1682359,12,1,0,759.96
60,1,0,1,1,0,28,78070,19701,1,2852,1,1,1,541575,60,1,0,753.25
51,0,1,0,1,1,32,53334,26599,2,5546,0,2,0,91422,18,1,0,751.32
39,0,0,1,2,1,11,40984,0,2,9186,1,1,2,1089137,84,1,0,750.48
61,0,1,1,1,0,43,59624,0,1,8755,0,0,1,2184960,24,1,0,796.65
57,0,1,1,1,0,38,55566,0,2,9390,1,1,1,1576327,12,1,0,763.02
61,1,1,0,1,0,44,58617,0,0,2388,1,0,0,1136309,12,1,0,819.16
59,1,0,0,1,1,25,57213,0,2,7247,2,1,3,123058,84,1,0,750.7
58,1,1,1,2,0,31,83054,0,2,15875,0,0,1,2279624,36,1,0,761.26
64,1,1,1,1,0,40,62462,41599,2,4608,1,1,0,1982107,36,1,0,770.44
64,0,1,1,1,0,40,69101,0,2,1426,1,0,0,2017123,48,1,0,754.05
48,1,1,1,2,0,28,49405,0,2,6624,1,2,4,1661463,60,1,0,773.4
57,0,1,1,1,0,37,62434,0,2,12612,1,1,4,1823494,12,1,0,774.54
58,1,1,2,1,1,33,58273,49603,2,10379,1,2,1,1808147,24,1,0,750.23
59,1,0,1,1,0,38,64251,11166,1,9428,0,0,3,1030334,84,1,0,752.69
60,0,1,0,2,0,36,61706,0,2,10014,1,1,0,875537,18,1,0,762.02
53,1,0,2,1,0,32,70865,32673,0,8808,0,2,1,2373127,60,1,0,758.13
34,1,0,0,1,0,16,67944,0,2,21951,0,1,4,2190489,84,1,0,794.51
60,0,1,1,1,0,41,72115,45850,1,7131,2,0,0,2349341,48,1,0,797.86
58,0,1,1,1,0,28,64197,0,2,4463,0,2,3,2367880,12,1,0,752.96
60,1,1,1,1,0,33,58602,58862,2,8775,1,0,5,2077065,48,1,0,761.96
50,1,1,2,2,1,20,65340,46685,1,4677,0,2,4,1509909,18,1,0,784.46
51,0,1,1,1,0,28,57423,0,1,2864,2,2,2,633910,60,1,0,752.46
54,1,1,0,1,0,32,67694,0,2,4147,0,1,1,2218884,84,1,0,755.84
60,1,1,1,1,0,29,70468,0,1,5103,1,0,0,1857175,12,1,0,776.82
57,1,1,0,2,0,23,63729,57178,1,2895,0,0,2,333481,84,1,0,750.07
62,0,1,1,2,0,32,62169,24369,2,14512,0,2,2,2366327,24,1,0,776.63
56,1,1,0,1,0,36,56776,45071,2,3434,1,2,2,2011348,84,1,0,780.29
62,1,1,1,2,0,37,74139,59000,2,20449,0,2,3,1017830,72,1,0,754.67
64,1,1,1,2,0,35,61668,0,2,20170,0,1,4,426804,84,1,0,756.16
62,0,1,2,1,1,37,46155,56010,2,5250,0,1,3,701355,84,1,0,766.82
62,0,1,0,1,0,42,58007,0,2,8757,0,1,2,278490,72,1,0,764.71
58,0,1,0,0,0,39,61778,0,2,10056,1,2,4,2296513,84,1,0,768.91
55,1,0,0,1,1,32,64881,0,2,15350,0,0,2,551843,72,1,0,819.52
64,1,1,1,1,0,31,57142,0,2,8236,0,0,3,641302,84,1,0,790.86
49,0,1,0,1,1,24,45893,0,2,1827,0,2,4,1635720,12,1,0,754.9
56,0,0,1,1,0,30,59516,0,2,16753,0,0,2,1764091,48,1,0,754.45
63,1,1,1,1,0,40,48654,0,2,6022,1,0,3,979183,18,1,0,796.65
34,0,1,2,2,0,15,67427,0,1,4386,0,0,0,2402532,48,1,0,754.88
64,1,0,0,0,0,39,69614,0,2,12144,0,0,1,891809,18,1,0,765.79
63,1,0,0,1,0,40,54466,59045,2,10428,2,0,4,1113947,36,1,0,794.15
60,0,0,0,1,0,27,62893,0,2,1024,2,0,1,1330176,84,1,0,767.09
52,1,0,1,2,0,24,60298,16242,2,16971,0,0,4,2243790,48,1,0,778.28
63,0,1,0,1,1,35,54988,0,1,2620,1,2,2,1427240,18,1,0,771.12
62,1,1,0,2,0,43,78767,18352,1,22141,0,1,3,1176556,18,1,0,768.82
55,1,1,3,1,1,27,40360,16087,1,10554,1,1,2,1614400,48,1,0,757.96
55,0,1,1,1,0,34,57947,0,2,12480,0,1,1,893022,18,1,0,790.71
49,1,1,0,2,0,26,75692,52931,2,7241,2,1,1,1280096,36,1,0,754.07
44,1,0,3,1,1,21,63360,0,2,8092,0,2,4,1593857,18,1,0,768.09
64,1,0,0,1,0,18,54005,0,0,242,0,1,1,1374953,12,1,0,757.52
61,1,0,1,0,0,26,62804,24155,1,8764,1,1,0,2143695,36,1,0,771.33
57,1,1,0,2,0,25,71871,0,2,14113,1,0,1,209374,60,1,0,769.77
61,1,0,0,2,0,41,71786,0,1,19357,0,2,3,1621996,12,1,0,757.93
54,1,1,0,2,0,22,66502,32322,2,1355,0,2,3,2274749,24,1,0,768.79
59,0,0,1,1,0,28,60885,0,2,11661,2,0,4,2416429,48,1,0,751.7
58,0,1,0,1,0,36,62531,0,2,8650,1,2,4,733308,72,1,0,804.21
58,1,1,2,1,0,37,48955,0,2,8021,1,1,1,314636,84,1,0,763.86
61,0,1,2,1,0,43,52840,0,1,1626,1,0,0,1913600,12,1,0,761.54
58,0,1,0,1,1,39,62485,0,2,9643,1,0,2,774913,48,1,0,777.08
49,1,0,0,2,0,28,59437,12011,2,11902,1,2,2,701190,60,1,0,756.36
57,1,0,0,1,0,32,50345,0,2,2167,1,0,1,1653494,84,1,0,755.36
55,1,1,2,0,1,31,53034,0,2,16728,1,0,5,2121360,36,1,0,751.91
49,1,0,0,1,0,29,65169,36770,2,8611,2,2,2,990949,84,1,0,765.17
54,1,1,0,1,0,35,60107,21027,2,6236,1,2,1,584387,72,1,0,755.14
56,1,0,1,1,0,32,48574,0,2,15626,2,1,0,284523,60,1,0,796.27
64,0,1,1,1,1,36,56041,8225,2,15265,1,2,3,2182944,84,1,0,781.2
64,1,1,2,1,0,45,58957,56333,2,7555,1,0,1,1581118,72,1,0,805.75
62,1,0,1,1,0,35,61182,41632,2,5770,2,1,2,1229267,12,1,0,767.84
55,0,0,1,1,0,25,47067,0,2,4270,1,2,1,1882680,84,1,0,789.46
61,0,1,1,0,0,39,56452,0,2,15471,1,1,1,308792,84,1,0,763.75
53,0,1,0,1,0,26,61797,0,2,1733,0,1,0,1382367,24,1,0,751.65
53,1,1,0,1,0,26,48925,0,2,736,1,2,1,122819,84,1,0,758.5
56,0,0,1,1,0,34,66943,0,2,12520,0,1,4,583955,84,1,0,755.78
64,1,1,0,1,0,31,41791,0,2,1620,1,0,2,1671640,24,1,0,772.37
64,1,1,0,1,0,43,60215,38347,2,19144,2,1,2,986899,48,1,0,758.58
48,1,1,0,2,0,22,61396,0,2,7854,0,1,1,558519,72,1,0,771.85
59,1,1,0,1,0,40,58699,0,2,6232,1,1,2,764154,72,1,0,761.76
64,1,1,0,1,1,42,66487,0,2,13967,0,0,0,1829400,24,1,0,842.41
56,1,1,0,1,0,19,59543,0,2,5446,0,1,4,2181720,18,1,0,754.79
58,1,0,1,1,1,25,59688,16161,2,3998,2,0,5,208327,84,1,0,754.52
53,1,1,0,1,0,32,58113,37655,2,12399,0,0,2,1260572,48,1,0,781.0
50,0,0,1,2,0,29,63265,0,1,10803,0,0,2,2330600,12,1,0,752.37
59,1,0,1,1,0,39,49687,0,2,4847,0,0,0,1837119,12,1,0,759.05
48,1,1,0,2,0,29,55929,0,2,8656,2,2,1,1723023,12,1,0,753.6
61,1,1,1,2,0,42,68590,0,1,10362,0,2,2,1664112,24,1,0,770.41
47,1,1,2,1,0,29,54249,0,2,13581,0,1,2,1969960,84,1,0,750.23
60,1,1,1,1,0,30,42077,0,2,4755,0,1,2,559731,60,1,0,750.99
57,1,1,0,1,0,31,56301,0,2,7196,1,2,3,2252040,72,1,0,755.4
52,0,1,2,1,0,32,59002,33820,2,10931,0,1,1,1749064,60,1,0,773.63
52,1,0,0,0,1,33,39100,0,2,7932,1,0,0,1564000,60,1,0,752.03
50,0,0,2,1,0,32,53594,14514,1,213,1,1,0,1943760,12,1,0,778.57
63,1,1,1,0,1,41,59671,0,1,6078,0,1,3,1577886,24,1,0,790.27
64,1,0,0,1,0,47,67099,0,2,4031,1,1,0,290445,48,1,0,752.96
52,1,1,0,1,0,32,59263,0,2,4082,0,0,0,101039,84,1,0,750.13
63,0,1,3,2,1,27,76099,56662,2,2574,0,1,4,1490975,18,1,0,787.02
49,1,1,1,1,1,22,61843,41407,1,5480,1,1,1,722784,12,1,0,751.61
64,1,0,1,1,1,46,68141,54602,1,9396,2,0,0,498204,12,1,0,766.04
58,0,1,0,2,0,39,68551,0,2,10682,0,0,0,196034,18,1,0,758.56
62,1,0,1,1,0,38,67503,0,2,9831,1,2,3,1947879,84,1,0,763.87
61,1,0,1,1,0,39,65642,43429,2,13307,1,0,4,993774,24,1,0,778.81
60,0,0,2,1,1,39,61368,51004,2,17357,2,1,0,2254720,12,1,0,755.13
61,1,1,2,2,0,22,62675,0,2,6539,1,2,3,2183931,72,1,0,803.12
64,1,1,0,1,0,34,56441,41876,1,7424,1,1,1,2057640,24,1,0,767.48
61,0,0,2,1,0,36,49907,0,2,14005,1,0,5,1388380,60,1,0,750.29
63,1,1,0,1,0,46,60027,0,2,16129,0,1,3,2201080,84,1,0,788.29
59,0,1,0,2,0,34,58796,0,2,7951,1,0,2,2181839,48,1,0,750.72
54,1,0,2,1,0,30,65392,0,2,19264,2,2,1,2085129,72,1,0,765.43
